Url,Start,Stop
http://localhost:8080/tools.descartes.teastore.webui/,40052607161582,40052621528649
http://localhost:8080/tools.descartes.teastore.webui/,40052674520307,40052681654493
http://localhost:8080/tools.descartes.teastore.webui/,40052707789259,40052718474928
http://localhost:8080/tools.descartes.teastore.webui/,40052742442549,40052750389859
http://localhost:8080/tools.descartes.teastore.webui/,40052779544865,40052789935560
http://localhost:8080/tools.descartes.teastore.webui/,40052853116332,40052863627726
http://localhost:8080/tools.descartes.teastore.webui/,40052933336830,40052945761603
http://localhost:8080/tools.descartes.teastore.webui/,40052939499335,40052947340075
http://localhost:8080/tools.descartes.teastore.webui/,40053012616872,40053024109157
http://localhost:8080/tools.descartes.teastore.webui/,40053013515047,40053024835007
http://localhost:8080/tools.descartes.teastore.webui/,40053098754331,40053110343320
http://localhost:8080/tools.descartes.teastore.webui/,40053190944439,40053201036429
http://localhost:8080/tools.descartes.teastore.webui/,40053325710332,40053338135644
http://localhost:8080/tools.descartes.teastore.webui/,40053461902315,40053474257843
http://localhost:8080/tools.descartes.teastore.webui/,40053512889305,40053523108980
http://localhost:8080/tools.descartes.teastore.webui/,40053577575473,40053587616874
http://localhost:8080/tools.descartes.teastore.webui/,40053723471663,40053735761750
http://localhost:8080/tools.descartes.teastore.webui/,40053869319409,40053879996378
http://localhost:8080/tools.descartes.teastore.webui/,40053906271023,40053920330669
http://localhost:8080/tools.descartes.teastore.webui/,40053906742836,40053920727998
http://localhost:8080/tools.descartes.teastore.webui/,40054087783640,40054099048851
http://localhost:8080/tools.descartes.teastore.webui/,40054207511663,40054219531847
http://localhost:8080/tools.descartes.teastore.webui/,40054358145491,40054368794651
http://localhost:8080/tools.descartes.teastore.webui/,40054463959082,40054474217019
http://localhost:8080/tools.descartes.teastore.webui/,40054500972963,40054511061170
http://localhost:8080/tools.descartes.teastore.webui/,40054651768896,40054661558980
http://localhost:8080/tools.descartes.teastore.webui/,40054803090992,40054813760617
http://localhost:8080/tools.descartes.teastore.webui/,40054802451760,40054814359885
http://localhost:8080/tools.descartes.teastore.webui/,40054954474238,40054966298386
http://localhost:8080/tools.descartes.teastore.webui/,40054953812154,40054966330946
http://localhost:8080/tools.descartes.teastore.webui/,40055235271351,40055243930862
http://localhost:8080/tools.descartes.teastore.webui/,40055270659705,40055282311172
http://localhost:8080/tools.descartes.teastore.webui/,40055319716757,40055330939146
http://localhost:8080/tools.descartes.teastore.webui/,40055379819038,40055390515453
http://localhost:8080/tools.descartes.teastore.webui/,40055535013866,40055546402641
http://localhost:8080/tools.descartes.teastore.webui/,40055566974714,40055577414487
http://localhost:8080/tools.descartes.teastore.webui/,40055769319428,40055780882210
http://localhost:8080/tools.descartes.teastore.webui/,40055782830325,40055790777275
http://localhost:8080/tools.descartes.teastore.webui/,40055835561545,40055846171972
http://localhost:8080/tools.descartes.teastore.webui/,40055915595142,40055926063434
http://localhost:8080/tools.descartes.teastore.webui/,40056193144931,40056204086142
http://localhost:8080/tools.descartes.teastore.webui/,40056335163566,40056346207177
http://localhost:8080/tools.descartes.teastore.webui/,40056346744410,40056354762583
http://localhost:8080/tools.descartes.teastore.webui/,40056488079536,40056498045633
http://localhost:8080/tools.descartes.teastore.webui/,40056494741260,40056512757115
http://localhost:8080/tools.descartes.teastore.webui/,40056546418781,40056554070328
http://localhost:8080/tools.descartes.teastore.webui/,40056688982740,40056699460567
http://localhost:8080/tools.descartes.teastore.webui/,40056742459673,40056752288496
http://localhost:8080/tools.descartes.teastore.webui/,40056885005454,40056895510528
http://localhost:8080/tools.descartes.teastore.webui/,40056909951094,40056921880347
http://localhost:8080/tools.descartes.teastore.webui/,40057067162566,40057078766363
http://localhost:8080/tools.descartes.teastore.webui/,40057129930761,40057141295661
http://localhost:8080/tools.descartes.teastore.webui/,40057253158540,40057267389840
http://localhost:8080/tools.descartes.teastore.webui/,40057399274734,40057410916138
http://localhost:8080/tools.descartes.teastore.webui/,40057506091222,40057518293287
http://localhost:8080/tools.descartes.teastore.webui/,40057531930439,40057541883691
http://localhost:8080/tools.descartes.teastore.webui/,40057679659344,40057687131850
http://localhost:8080/tools.descartes.teastore.webui/,40057825497851,40057835978455
http://localhost:8080/tools.descartes.teastore.webui/,40057843294773,40057852307066
http://localhost:8080/tools.descartes.teastore.webui/,40058014439913,40058026859638
http://localhost:8080/tools.descartes.teastore.webui/,40058286456852,40058297643482
http://localhost:8080/tools.descartes.teastore.webui/,40058413123548,40058424302953
http://localhost:8080/tools.descartes.teastore.webui/,40058430797680,40058440208773
http://localhost:8080/tools.descartes.teastore.webui/,40058557137561,40058564060139
http://localhost:8080/tools.descartes.teastore.webui/,40058574647518,40058582399875
http://localhost:8080/tools.descartes.teastore.webui/,40058597021631,40058601983330
http://localhost:8080/tools.descartes.teastore.webui/,40058697744781,40058707702213
http://localhost:8080/tools.descartes.teastore.webui/,40058824458420,40058833743822
http://localhost:8080/tools.descartes.teastore.webui/,40058935352193,40058944895540
http://localhost:8080/tools.descartes.teastore.webui/,40058936155600,40058944964704
http://localhost:8080/tools.descartes.teastore.webui/,40059128247835,40059138278643
http://localhost:8080/tools.descartes.teastore.webui/,40059208083916,40059217866261
http://localhost:8080/tools.descartes.teastore.webui/,40059284222174,40059294379907
http://localhost:8080/tools.descartes.teastore.webui/,40059395937912,40059406195970
http://localhost:8080/tools.descartes.teastore.webui/,40059473829355,40059483538171
http://localhost:8080/tools.descartes.teastore.webui/,40059576519055,40059586039243
http://localhost:8080/tools.descartes.teastore.webui/,40059692304828,40059701775725
http://localhost:8080/tools.descartes.teastore.webui/,40059765077944,40059774053075
http://localhost:8080/tools.descartes.teastore.webui/,40059904284470,40059911817101
http://localhost:8080/tools.descartes.teastore.webui/,40059908769487,40059915383378
http://localhost:8080/tools.descartes.teastore.webui/,40060095840687,40060104855306
http://localhost:8080/tools.descartes.teastore.webui/,40060172285680,40060179517197
http://localhost:8080/tools.descartes.teastore.webui/,40060177664650,40060183182423
http://localhost:8080/tools.descartes.teastore.webui/,40060263884754,40060273083519
http://localhost:8080/tools.descartes.teastore.webui/,40060415999621,40060424789928
http://localhost:8080/tools.descartes.teastore.webui/,40060502807609,40060512161317
http://localhost:8080/tools.descartes.teastore.webui/,40060605558762,40060616382760
http://localhost:8080/tools.descartes.teastore.webui/,40060807708275,40060820319855
http://localhost:8080/tools.descartes.teastore.webui/,40060861426070,40060872189596
http://localhost:8080/tools.descartes.teastore.webui/,40060890141293,40060901151918
http://localhost:8080/tools.descartes.teastore.webui/,40061024791770,40061030838446
http://localhost:8080/tools.descartes.teastore.webui/,40061108935605,40061120828879
http://localhost:8080/tools.descartes.teastore.webui/,40061266674831,40061276386325
http://localhost:8080/tools.descartes.teastore.webui/,40061299534741,40061308637296
http://localhost:8080/tools.descartes.teastore.webui/,40061375545279,40061385082682
http://localhost:8080/tools.descartes.teastore.webui/,40061533510692,40061544427382
http://localhost:8080/tools.descartes.teastore.webui/,40061636470186,40061646862096
http://localhost:8080/tools.descartes.teastore.webui/,40061750467227,40061760379848
http://localhost:8080/tools.descartes.teastore.webui/,40061865097655,40061875526213
http://localhost:8080/tools.descartes.teastore.webui/,40061942335692,40061953310013
http://localhost:8080/tools.descartes.teastore.webui/,40062206563681,40062217265312
http://localhost:8080/tools.descartes.teastore.webui/,40062236537988,40062244982961
http://localhost:8080/tools.descartes.teastore.webui/,40062286363588,40062296238566
http://localhost:8080/tools.descartes.teastore.webui/,40062392949488,40062403234005
http://localhost:8080/tools.descartes.teastore.webui/,40062533047689,40062543720604
http://localhost:8080/tools.descartes.teastore.webui/,40062543558421,40062549862406
http://localhost:8080/tools.descartes.teastore.webui/,40062659246930,40062669382888
http://localhost:8080/tools.descartes.teastore.webui/,40062740443040,40062750503130
http://localhost:8080/tools.descartes.teastore.webui/,40062880289910,40062891613905
http://localhost:8080/tools.descartes.teastore.webui/,40063020479383,40063032213634
http://localhost:8080/tools.descartes.teastore.webui/,40063286869167,40063297600551
http://localhost:8080/tools.descartes.teastore.webui/,40063366981848,40063377557249
http://localhost:8080/tools.descartes.teastore.webui/,40063423977944,40063435114848
http://localhost:8080/tools.descartes.teastore.webui/,40063551286313,40063561451852
http://localhost:8080/tools.descartes.teastore.webui/,40063620694823,40063628400508
http://localhost:8080/tools.descartes.teastore.webui/,40063641711962,40063651617519
http://localhost:8080/tools.descartes.teastore.webui/,40063752589887,40063763091617
http://localhost:8080/tools.descartes.teastore.webui/,40063806657939,40063818568839
http://localhost:8080/tools.descartes.teastore.webui/,40063920364124,40063927536463
http://localhost:8080/tools.descartes.teastore.webui/,40063942055566,40063951059001
http://localhost:8080/tools.descartes.teastore.webui/,40064094431901,40064105963053
http://localhost:8080/tools.descartes.teastore.webui/,40064122735267,40064132182623
http://localhost:8080/tools.descartes.teastore.webui/,40064166315893,40064179653206
http://localhost:8080/tools.descartes.teastore.webui/,40064286331058,40064295766548
http://localhost:8080/tools.descartes.teastore.webui/,40064443073400,40064453526412
http://localhost:8080/tools.descartes.teastore.webui/,40064600234704,40064609991596
http://localhost:8080/tools.descartes.teastore.webui/,40064757765786,40064767976183
http://localhost:8080/tools.descartes.teastore.webui/,40064841585008,40064853785626
http://localhost:8080/tools.descartes.teastore.webui/,40064951315094,40064964201059
http://localhost:8080/tools.descartes.teastore.webui/,40064950713862,40064964201322
http://localhost:8080/tools.descartes.teastore.webui/,40065134093059,40065148257889
http://localhost:8080/tools.descartes.teastore.webui/,40065225794248,40065236924781
http://localhost:8080/tools.descartes.teastore.webui/,40065246644974,40065258663137
http://localhost:8080/tools.descartes.teastore.webui/,40065397313860,40065406251853
http://localhost:8080/tools.descartes.teastore.webui/,40065420331538,40065429378879
http://localhost:8080/tools.descartes.teastore.webui/,40065586496391,40065598726253
http://localhost:8080/tools.descartes.teastore.webui/,40065737280837,40065746740202
http://localhost:8080/tools.descartes.teastore.webui/,40065740661974,40065747436564
http://localhost:8080/tools.descartes.teastore.webui/,40065819982805,40065829697202
http://localhost:8080/tools.descartes.teastore.webui/,40065896716197,40065906132618
http://localhost:8080/tools.descartes.teastore.webui/,40066008197548,40066019397316
http://localhost:8080/tools.descartes.teastore.webui/,40066045324089,40066074715189
http://localhost:8080/tools.descartes.teastore.webui/,40066221022593,40066231463908
http://localhost:8080/tools.descartes.teastore.webui/,40066380639620,40066390642313
http://localhost:8080/tools.descartes.teastore.webui/,40066386206126,40066393814878
http://localhost:8080/tools.descartes.teastore.webui/,40066540488270,40066552045861
http://localhost:8080/tools.descartes.teastore.webui/,40066640636896,40066653037616
http://localhost:8080/tools.descartes.teastore.webui/,40066800106140,40066806693294
http://localhost:8080/tools.descartes.teastore.webui/,40066948686466,40066955893045
http://localhost:8080/tools.descartes.teastore.webui/,40066947952174,40066956019524
http://localhost:8080/tools.descartes.teastore.webui/,40067053234181,40067062207311
http://localhost:8080/tools.descartes.teastore.webui/,40067114552589,40067124744082
http://localhost:8080/tools.descartes.teastore.webui/,40067283057250,40067293251038
http://localhost:8080/tools.descartes.teastore.webui/,40067330972347,40067341555546
http://localhost:8080/tools.descartes.teastore.webui/,40067493067992,40067506082795
http://localhost:8080/tools.descartes.teastore.webui/,40067644085652,40067654835783
http://localhost:8080/tools.descartes.teastore.webui/,40067763356042,40067769003639
http://localhost:8080/tools.descartes.teastore.webui/,40067913708831,40067919614609
http://localhost:8080/tools.descartes.teastore.webui/,40067914063002,40067919626615
http://localhost:8080/tools.descartes.teastore.webui/,40067914590529,40067919824728
http://localhost:8080/tools.descartes.teastore.webui/,40067979187151,40067988666055
http://localhost:8080/tools.descartes.teastore.webui/,40068109985872,40068119262073
http://localhost:8080/tools.descartes.teastore.webui/,40068210001967,40068219357789
http://localhost:8080/tools.descartes.teastore.webui/,40068352141010,40068363472750
http://localhost:8080/tools.descartes.teastore.webui/,40068479516911,40068484275948
http://localhost:8080/tools.descartes.teastore.webui/,40068574393549,40068584630944
http://localhost:8080/tools.descartes.teastore.webui/,40068605066660,40068613891690
http://localhost:8080/tools.descartes.teastore.webui/,40068719320925,40068730301471
http://localhost:8080/tools.descartes.teastore.webui/,40068852141679,40068863241822
http://localhost:8080/tools.descartes.teastore.webui/,40068887180589,40068897506296
http://localhost:8080/tools.descartes.teastore.webui/,40069107360388,40069120403596
http://localhost:8080/tools.descartes.teastore.webui/,40069243395803,40069253400864
http://localhost:8080/tools.descartes.teastore.webui/,40069396654836,40069403666604
http://localhost:8080/tools.descartes.teastore.webui/,40069549947802,40069554937104
http://localhost:8080/tools.descartes.teastore.webui/,40069624426389,40069629952998
http://localhost:8080/tools.descartes.teastore.webui/,40069699846607,40069705594197
http://localhost:8080/tools.descartes.teastore.webui/,40069853225335,40069858334857
http://localhost:8080/tools.descartes.teastore.webui/,40069853529721,40069858337237
http://localhost:8080/tools.descartes.teastore.webui/,40070007105818,40070012171901
http://localhost:8080/tools.descartes.teastore.webui/,40070006941285,40070012961217
http://localhost:8080/tools.descartes.teastore.webui/,40070124984631,40070132810440
http://localhost:8080/tools.descartes.teastore.webui/,40070279116143,40070289833922
http://localhost:8080/tools.descartes.teastore.webui/,40070362051263,40070374720081
