Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Final Batch Dispatch Time,19.08.2024;01:55:27954
0.5,1.0,0,0,0,0.0,0.465
1.5,1.0,2,0,0,0.014,1.512
2.5,2.0,2,0,0,0.008,2.13
3.5,3.0,3,0,0,0.007,3.251
4.5,3.0,3,0,0,0.008,3.999
5.5,4.0,4,0,0,0.007,5.789
6.5,5.0,5,0,0,0.007,6.471
7.5,6.0,6,0,0,0.007,7.417
8.5,6.0,6,0,0,0.007,8.455
9.5,7.0,7,0,0,0.007,9.482
10.5,8.0,7,0,0,0.006,10.303
11.5,9.0,10,0,0,0.006,11.439
12.5,9.0,9,0,0,0.008,12.335
13.5,10.0,10,0,0,0.008,13.467
14.5,11.0,11,0,0,0.007,14.445
15.5,12.0,12,0,0,0.007,15.57
16.5,12.0,12,0,0,0.007,16.385
17.5,13.0,13,0,0,0.012,17.441
18.5,14.0,13,0,0,0.007,18.381
19.5,15.0,15,0,0,0.005,19.44
20.5,15.0,16,0,0,0.005,20.455
21.5,16.0,16,0,0,0.005,21.449
22.5,17.0,17,0,0,0.005,22.411
23.5,18.0,18,0,0,0.005,23.446
24.5,18.0,18,0,0,0.005,24.457
25.5,19.0,19,0,0,0.004,25.521
26.5,20.0,20,0,0,0.017,26.517
27.5,21.0,20,0,0,0.02,27.442
28.5,21.0,22,0,0,0.018,28.537
29.5,22.0,22,0,0,0.028,29.492
30.5,23.0,22,0,0,0.018,30.486
31.5,24.0,23,0,0,0.018,31.426
32.5,24.0,26,0,0,0.015,32.482
33.5,25.0,24,0,0,0.014,33.429
34.5,26.0,26,0,0,0.015,34.467
35.5,27.0,27,0,0,0.014,35.449
36.5,27.0,26,0,0,0.015,36.465
37.5,28.0,30,0,0,0.028,37.472
38.5,29.0,29,0,0,0.03,38.524
39.5,30.0,29,0,0,0.027,39.491
40.5,30.0,31,0,0,0.027,40.485
41.5,31.0,29,0,0,0.023,41.45
42.5,32.0,32,0,0,0.022,42.476
43.5,33.0,35,0,0,0.021,43.488
44.5,33.0,30,0,0,0.021,44.459
45.5,34.0,37,0,0,0.016,45.502
46.5,35.0,35,0,0,0.014,46.501
47.5,36.0,35,0,0,0.013,47.481
48.5,36.0,37,0,0,0.014,48.497
49.5,37.0,36,0,0,0.013,49.469
50.5,38.0,38,0,0,0.013,50.499
51.5,39.0,40,0,0,0.014,51.477
52.5,39.0,39,0,0,0.022,52.49
53.5,40.0,39,0,0,0.024,53.466
54.5,41.0,41,0,0,0.025,54.49
55.5,42.0,24,0,0,0.039,55.484
56.5,42.0,61,0,0,0.233,56.497
57.5,43.0,43,0,0,0.005,57.522
58.5,44.0,37,0,0,0.086,58.494
59.5,45.0,45,0,0,0.164,59.489
60.5,45.0,44,0,0,0.188,60.463
61.5,46.0,54,0,0,0.078,61.487
62.5,47.0,46,0,0,0.01,62.49
63.5,48.0,47,0,0,0.01,63.469
64.5,48.0,50,0,0,0.007,64.504
65.5,49.0,48,0,0,0.007,65.476
66.5,50.0,49,0,0,0.006,66.419
67.5,51.0,53,0,0,0.005,67.458
68.5,51.0,51,0,0,0.004,68.429
69.5,52.0,52,0,0,0.005,69.448
70.5,53.0,51,0,0,0.005,70.439
71.5,54.0,56,0,0,0.011,71.461
72.5,54.0,54,0,0,0.018,72.47
73.5,55.0,51,0,0,0.021,73.414
74.5,56.0,60,0,0,0.016,74.503
75.5,57.0,57,0,0,0.017,75.446
76.5,57.0,57,0,0,0.03,76.484
77.5,58.0,58,0,0,0.025,77.48
78.5,59.0,59,0,0,0.029,78.485
79.5,60.0,56,0,0,0.027,79.409
80.5,60.0,64,0,0,0.021,80.451
81.5,61.0,61,0,0,0.125,81.511
82.5,62.0,62,0,0,0.013,82.535
83.5,63.0,54,0,0,0.014,83.443
84.5,63.0,66,0,0,0.053,84.439
85.5,64.0,70,0,0,0.023,85.461
86.5,65.0,65,0,0,0.04,86.453
87.5,66.0,66,0,0,0.006,87.48
88.5,66.0,63,0,0,0.065,88.512
89.5,67.0,62,0,0,0.231,89.477
90.5,68.0,74,0,0,0.131,90.436
91.5,69.0,71,0,0,0.011,91.51
92.5,69.0,69,0,0,0.008,92.466
93.5,70.0,70,0,0,0.007,93.43
94.5,71.0,71,0,0,0.006,94.473
95.5,72.0,72,0,0,0.005,95.447
96.5,72.0,72,0,0,0.005,96.474
97.5,73.0,73,0,0,0.008,97.514
98.5,74.0,74,0,0,0.026,98.492
99.5,75.0,75,0,0,0.022,99.47
100.5,75.0,75,0,0,0.023,100.489
101.5,76.0,68,0,0,0.029,101.455
102.5,77.0,85,0,0,0.054,102.46
103.5,78.0,74,0,0,0.033,103.427
